chicago_reader_href,date_created,date_updated,username,is_scraped
 http://www.chicagoreader.com/chicago/how-to-read-the-revolution/Content?oid=891671,2020-05-01 19:41:53.927625,2020-05-01 19:41:53.927627,Prathyusha,
 http://www.chicagoreader.com/chicago/when-nostalgia-works/Content?oid=923696,2020-05-01 19:41:53.927639,2020-05-01 19:41:53.927640,Prathyusha,
 http://www.chicagoreader.com/chicago/desperate-characters/Content?oid=881786,2020-05-01 19:41:53.927670,2020-05-01 19:41:53.927671,Prathyusha,
 http://www.chicagoreader.com/chicago/odd-couplings/Content?oid=881254,2020-05-01 19:41:53.927686,2020-05-01 19:41:53.927687,Prathyusha,
 http://www.chicagoreader.com/chicago/final-bow/Content?oid=904506,2020-05-01 19:41:53.927706,2020-05-01 19:41:53.927707,Prathyusha,
 http://www.chicagoreader.com/chicago/desperate-characters/Content?oid=881786,2020-05-01 19:41:53.927729,2020-05-01 19:41:53.927731,Prathyusha,
 http://www.chicagoreader.com/chicago/book-of-eli-movie-review-hughes-brothers-denzel-washington/Content?oid=1337519,2020-05-01 19:41:53.927749,2020-05-01 19:41:53.927751,Prathyusha,
 http://www.chicagoreader.com/chicago/lost-in-the-woods/Content?oid=903812,2020-05-01 19:41:53.927766,2020-05-01 19:41:53.927768,Prathyusha,
 http://www.chicagoreader.com/chicago/the-freedom-to-exploit/Content?oid=917985,2020-05-01 19:41:53.927782,2020-05-01 19:41:53.927783,Prathyusha,
 http://www.chicagoreader.com/chicago/boston-strangler-movie-review-music-box-tony-curtis/Content?oid=2626542,2020-05-01 19:41:53.927796,2020-05-01 19:41:53.927798,Prathyusha,
 http://www.chicagoreader.com/chicago/yesterdays-news/Content?oid=919671,2020-05-01 19:41:53.928592,2020-05-01 19:41:53.928598,Prathyusha,
 http://www.chicagoreader.com/chicago/true-enough/Content?oid=900520,2020-05-01 19:41:53.928627,2020-05-01 19:41:53.928629,Prathyusha,
http://www.chicagoreader.com/chicago/the-black-mans-burden/Content?oid=877938,2020-05-01 19:41:53.928646,2020-05-01 19:41:53.928647,Prathyusha,
 http://www.chicagoreader.com/chicago/tv-and-not-tv/Content?oid=886798,2020-05-01 19:41:53.928664,2020-05-01 19:41:53.928665,Prathyusha,
 http://www.chicagoreader.com/chicago/sanitized-for-our-protection/Content?oid=900888,2020-05-01 19:41:53.928682,2020-05-01 19:41:53.928684,Prathyusha,
 http://www.chicagoreader.com/chicago/glimpses-of-greatness/Content?oid=900139,2020-05-01 19:41:53.928712,2020-05-01 19:41:53.928714,Prathyusha,
 http://www.chicagoreader.com/chicago/cornucoppola/Content?oid=880911,2020-05-01 19:41:53.928777,2020-05-01 19:41:53.928780,Prathyusha,
 http://www.chicagoreader.com/chicago/blood-all-over/Content?oid=887636,2020-05-01 19:41:53.928799,2020-05-01 19:41:53.928801,Prathyusha,
 http://www.chicagoreader.com/chicago/mixed-emotions/Content?oid=892246,2020-05-01 19:41:53.928818,2020-05-01 19:41:53.928820,Prathyusha,
 http://www.chicagoreader.com/chicago/on-visible-strings/Content?oid=893567,2020-05-01 19:41:53.928837,2020-05-01 19:41:53.928838,Prathyusha,
 http://www.chicagoreader.com/chicago/teenage-noir/Content?oid=921735,2020-05-01 19:41:53.928855,2020-05-01 19:41:53.928856,Prathyusha,
 http://www.chicagoreader.com/chicago/brideshead-revised/Content?oid=1109165,2020-05-01 19:41:53.928872,2020-05-01 19:41:53.928874,Prathyusha,
 http://www.chicagoreader.com/chicago/bridesmaids-review-kristen-wiig/Content?oid=3767019,2020-05-01 19:41:53.928890,2020-05-01 19:41:53.928891,Prathyusha,
 http://www.chicagoreader.com/chicago/the-dreamboat-with-no-name/Content?oid=887760,2020-05-01 19:41:53.928907,2020-05-01 19:41:53.928909,Prathyusha,
 http://www.chicagoreader.com/chicago/desperate-measures/Content?oid=896713,2020-05-01 19:41:53.928924,2020-05-01 19:41:53.928925,Prathyusha,
 http://www.chicagoreader.com/chicago/smoke-and-mirrors/Content?oid=917392,2020-05-01 19:41:53.928940,2020-05-01 19:41:53.928941,Prathyusha,
 http://www.chicagoreader.com/chicago/movie-brighton-rock-graham-greene-james-bulger/Content?oid=4497894,2020-05-01 19:41:53.928956,2020-05-01 19:41:53.928957,Prathyusha,
 http://www.chicagoreader.com/chicago/capras-catastrophe/Content?oid=880196,2020-05-01 19:41:53.928972,2020-05-01 19:41:53.928974,Prathyusha,
